Tag,Explanation
adv,"Bổ ngữ trạng thái (mệnh đề) (mệnh đề bổ nghĩa cho động từ, tính từ hoặc trạng từ, thường trả lời câu hỏi tại sao, khi nào, ở đâu, như thế nào, ví dụ: 'advcl')"
conj,"Thành tố kết hợp (quan hệ giữa hai hoặc nhiều thành tố được liên kết bởi một liên từ kết hợp, ví dụ: 'bánh mì' trong 'bánh mì và bơ')"
tmp,"Bổ ngữ thời gian (trạng từ bổ nghĩa cho động từ bằng cách chỉ rõ thời gian, ví dụ: 'hôm nay')"
sub,"Chủ ngữ (cụm danh từ đóng vai trò là tác nhân hoặc chủ đề của mệnh đề, ví dụ: 'nsubj' hoặc 'csubj')"
mnr,"Bổ ngữ thể cách (trạng từ bổ nghĩa cho động từ bằng cách chỉ rõ cách thức thực hiện hành động, ví dụ: 'nhanh')"
root,"Gốc (thành phần chính của câu; vị ngữ chính (thường là động từ) mà tất cả các từ khác cuối cùng đều phụ thuộc vào)"
x,"Bổ ngữ mệnh đề mở (một mệnh đề không hữu hạn (non-finite) đóng vai trò là bổ ngữ cho động từ, không có chủ ngữ riêng, ví dụ: 'xcomp')"
pob,"Tân ngữ của giới từ (cụm danh từ theo sau một giới từ, ví dụ: 'bàn' trong 'trên bàn')"
prp,"Bổ ngữ chỉ mục đích (mệnh đề trạng ngữ chỉ mục đích của hành động trong mệnh đề chính, ví dụ: 'để')"
pmod,"Bổ ngữ giới từ (cụm giới từ bổ nghĩa cho một danh từ, ví dụ: 'cuốn sách [trên bàn]')"
tpc,"Chủ đề (một thành tố đã được di chuyển lên đầu câu để nhấn mạnh hoặc thiết lập chủ đề)"
nmod,"Bổ ngữ danh từ (một danh từ hoặc cụm danh từ bổ nghĩa cho một danh từ khác, ví dụ: sở hữu hoặc danh từ ghép)"
punct,"Dấu câu (các dấu câu như dấu phẩy, dấu chấm, v.v.)"
amod,"Bổ ngữ tính từ (tính từ bổ nghĩa cho danh từ)"
det,"Từ hạn định (từ giới thiệu một cụm danh từ, ví dụ: 'cái', 'một', 'những')"
iob,"Tân ngữ gián tiếp (người nhận hoặc người hưởng lợi từ một hành động, ví dụ: 'anh ấy' trong 'tôi đưa [anh ấy] cuốn sách')"
dob,"Tân ngữ trực tiếp (cụm danh từ trực tiếp nhận hành động của một động từ ngoại động, ví dụ: 'cuốn sách' trong 'đọc [cuốn sách]')"
coord,"Liên từ kết hợp (từ liên kết hai thành tố phối hợp, ví dụ: 'và', 'hoặc')"
loc,"Bổ ngữ vị trí (trạng từ bổ nghĩa cho động từ bằng cách chỉ rõ vị trí, ví dụ: 'ở Hà Nội')"
dep,"Phụ thuộc (thẻ chung cho một quan hệ phụ thuộc không được phân loại hoặc không xác định)"
prd,"Vị ngữ (bổ ngữ của một động từ nối, ví dụ: 'giáo viên' trong 'Anh ấy là [giáo viên]')"
dir,"Bổ ngữ chỉ hướng (trạng từ bổ nghĩa cho động từ bằng cách chỉ rõ hướng, ví dụ: 'đi [lên]')"
vmod,"Bổ ngữ động từ (một dạng động từ, thường là không hữu hạn, bổ nghĩa cho một từ khác, thường là danh từ (như 'acl') hoặc động từ)"
cnd,"Bổ ngữ điều kiện (mệnh đề trạng ngữ chỉ rõ một điều kiện, ví dụ: 'nếu')"
