url,question,answer
https://luatvietnam.vn/luat-su-tu-van/tai-san-bo-me-mua-cho-con-duoi-16-tuoi-thi-con-co-quyen-ban-khong-149956-faqs.html,"Bộ luật Dân sự của Quốc hội, số 91/2015/QH13","[{""question"": ""Bộ luật Dân sự của Quốc hội, số 91/2015/QH13"", ""answer"": ""Dân sự""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/dat-cho-muon-lau-nam-khong-co-giay-to-cho-muon-co-doi-duoc-khong-149825-faqs.html,"Bộ luật Dân sự của Quốc hội, số 91/2015/QH13","[{""question"": ""Bộ luật Dân sự của Quốc hội, số 91/2015/QH13"", ""answer"": ""Dân sự""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/nguoi-song-tich-co-duoc-mua-dat-o-viet-nam-khong-149803-faqs.html,Trả lời của Luật sư:,"[{""question"": ""Trả lời của Luật sư:"", ""answer"": ""-\nLuật hộ tịch 2008\n(sửa đổi, bổ sung năm 2014)""}, {""question"": ""I. Căn cứ pháp lý"", ""answer"": ""-\nLuật hộ tịch 2008\n(sửa đổi, bổ sung năm 2014)""}, {""question"": ""II. Nội dung tư vấn"", ""answer"": ""Trước hết, theo thông tin anh cung cấp, anh có quốc tịch Việt Nam và đã sinh sống thường trú tại Canada. Căn cứ vào khoản 3, Điều 3 Luật Quốc tịch Việt Nam 2008: “3. Người Việt Nam định cư ở nước ngoài là công dân Việt Nam và người gốc Việt Nam cư trú, sinh sống lâu dài ở nước ngoài”, như vậy anh thuộc đối tượng người Việt Nam định cư ở nước ngoài.""}, {""question"": ""Luật Hộ tịch của Quốc hội, số 60/2014/QH13"", ""answer"": ""Tư pháp-Hộ tịch""}, {""question"": ""Luật Nhà ở của Quốc hội, số 65/2014/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Nghị định 43/2014/NĐ-CP của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/xay-nha-tren-dat-da-co-quy-hoach-co-duoc-boi-thuong-khong-149746-faqs.html,"Luật Đất đai của Quốc hội, số 45/2013/QH13","[{""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/dia-phuong-khong-thu-tien-thue-su-dung-dat-hang-nam-phai-lam-sao-149745-faqs.html,"Luật Thuế sử dụng đất phi nông nghiệp của Quốc hội, số 48/2010/QH12","[{""question"": ""Luật Thuế sử dụng đất phi nông nghiệp của Quốc hội, số 48/2010/QH12"", ""answer"": ""Đất đai-Nhà ở\n,\nThuế-Phí-Lệ phí""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/co-duoc-ky-uy-quyen-ban-dat-khi-vang-mat-ben-duoc-uy-quyen-khong-149740-faqs.html,1. Căn cứ pháp lý,"[{""question"": ""1. Căn cứ pháp lý"", ""answer"": ""-\nBộ luật Dân sự 2015""}, {""question"": ""2. Tư vấn của luật sư"", ""answer"": ""Theo quy định tại Điều 135\nBộ luật Dân sự 2015\nthì:""}, {""question"": ""Bộ luật Dân sự của Quốc hội, số 91/2015/QH13"", ""answer"": ""Dân sự""}, {""question"": ""Luật Công chứng của Quốc hội, số 53/2014/QH13"", ""answer"": ""Hành chính\n,\nTư pháp-Hộ tịch""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/cong-trinh-xay-dung-vi-pham-co-duoc-boi-thuong-khi-nha-nuoc-thu-hoi-dat-khong-149742-faqs.html,I. Căn cứ pháp luật,"[{""question"": ""I. Căn cứ pháp luật"", ""answer"": ""-\nLuật Đất đai 2013""}, {""question"": ""II. Nội dung tư vấn"", ""answer"": ""Theo bạn trình bày, gia đình bạn có xây dựng công trình trên phần đất của hành lang an toàn giao thông. Hành vi xây dựng của bạn thuộc hành vi bị nghiêm cấm theo quy định của pháp luật đất đai, cụ thể là Điều 12 Luật này quy định:""}, {""question"": ""Nghị định 43/2014/NĐ-CP của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Nghị định 47/2014/NĐ-CP của Chính phủ quy định về bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất"", ""answer"": ""Đất đai-Nhà ở\n,\nChính sách""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/can-cu-de-xac-dinh-thoi-diem-su-dung-dat-co-nha--149741-faqs.html,I. Căn cứ pháp lý,"[{""question"": ""I. Căn cứ pháp lý"", ""answer"": ""-\nLuật đất đai 2013\n;""}, {""question"": ""II. Nội dung tư vấn"", ""answer"": ""Thứ nhất, đối với việc\ncấp GCN QSDĐ có nguồn gốc là đất giao không đúng thẩm quyền\ntừ UBND xã. Căn cứ khoản 3, điều 23 Nghị Định 43/2014/NĐ-CP quy định về việc cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất cho hộ gia đình, cá nhân đã được giao không đúng thẩm quyền như sau:""}, {""question"": ""Nghị định 43/2014/NĐ-CP của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/dang-no-tien-su-dung-dat-thi-co-duoc-den-bu-khi-thu-hoi-khong-149505-faqs.html,1. TheoLuật Đất đai 2013,"[{""question"": ""1. TheoLuật Đất đai 2013"", ""answer"": ""Theo Điều 75 Luật Đất đai, về điều kiện được bồi thường về đất khi Nhà nước thu hồi thì gia đình cần đáp ứng 2 điều kiện để được bồi thường về đất khi Nhà nước thu hồi đất: Đất đang ở không phải đất thuê trả tiền thuê hằng năm và có giấy chứng nhận quyền sử dụng đất/nhà ở hoặc đủ điều kiện được\ncấp giấy chứng nhận\nnhưng chưa được cấp.""}, {""question"": ""2. TheoNghị định 45/2014/NĐ-CP"", ""answer"": ""Theo Điều 75 Luật Đất đai, về điều kiện được bồi thường về đất khi Nhà nước thu hồi thì gia đình cần đáp ứng 2 điều kiện để được bồi thường về đất khi Nhà nước thu hồi đất: Đất đang ở không phải đất thuê trả tiền thuê hằng năm và có giấy chứng nhận quyền sử dụng đất/nhà ở hoặc đủ điều kiện được\ncấp giấy chứng nhận\nnhưng chưa được cấp.""}, {""question"": ""Nghị định 45/2014/NĐ-CP của Chính phủ quy định về thu tiền sử dụng đất"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
https://luatvietnam.vn/luat-su-tu-van/dat-co-nha-lan-chiem-hanh-lang-co-duoc-cap-doi-sang-so-hong-khong-149501-faqs.html,Nghị định 100/2019/NĐ-CP của Chính phủ về việc quy định xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt,"[{""question"": ""Nghị định 100/2019/NĐ-CP của Chính phủ về việc quy định xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ và đường sắt"", ""answer"": ""Vi phạm hành chính\n,\nGiao thông""}, {""question"": ""Nghị định 43/2014/NĐ-CP của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Luật Đất đai của Quốc hội, số 45/2013/QH13"", ""answer"": ""Đất đai-Nhà ở""}, {""question"": ""Câu hỏi mới nhất"", ""answer"": ""Không tìm thấy trả lời""}]"
