document_id,document_number,sentence
aee5d7b5cf52423b7929d80bb72d4cdb0fd7724318fe13576b03d9dcf81085a0,37/2018/TT-BGTVT,"kiểm tra công trình đường bộ bao gồm kiểm tra theo quy chuẩn, tiêu chuẩn kỹ thuật, quy trình bảo trì được duyệt"
aee5d7b5cf52423b7929d80bb72d4cdb0fd7724318fe13576b03d9dcf81085a0,37/2018/TT-BGTVT,"kiểm tra công trình đường bộ bao gồm kiểm tra thường xuyên, định kỳ và đột xuất nhằm phát hiện các dấu hiệu xuống cấp, hư hỏng của công trình, thiết bị lắp đặt vào công trình"
aee5d7b5cf52423b7929d80bb72d4cdb0fd7724318fe13576b03d9dcf81085a0,37/2018/TT-BGTVT,kiểm tra công trình đường bộ làm cơ sở cho việc bảo trì công trình
af1dd8f9d04fbf43903435393857fb45ab614d57eee5b22d1bdccbb4e0419a17,37/2018/TT-BGTVT,quan trắc công trình đường bộ cần được thực hiện
af1dd8f9d04fbf43903435393857fb45ab614d57eee5b22d1bdccbb4e0419a17,37/2018/TT-BGTVT,các bộ phận công trình bao gồm các kết cấu chịu lực chính của công trình
2f444973592db965e50fb7108a415382ddc27565a6734a4333ce5d7d42bb006d,37/2018/TT-BGTVT,nội dung này gồm thời gian quan trắc
529d8eab8669243feef283222fb99b01c18fb3d0dc504cb3aea7275dd16c319d,37/2018/TT-BGTVT,phương án quan trắc quy định về tổ chức thực hiện
9e4dd5ed1c84d5db68d84a7d4eb2cfc5b5b52dbab7f896877694538c8d301bca,37/2018/TT-BGTVT,"kiểm định xây dựng công trình đường bộ là hoạt động đánh giá chất lượng sản phẩm xây dựng, bộ phận công trình đường bộ hoặc công trình đường bộ"
9e4dd5ed1c84d5db68d84a7d4eb2cfc5b5b52dbab7f896877694538c8d301bca,37/2018/TT-BGTVT,"kiểm định xây dựng công trình đường bộ là hoạt động kiểm tra nguyên nhân hư hỏng sản phẩm xây dựng, bộ phận công trình đường bộ hoặc công trình đường bộ"
9e4dd5ed1c84d5db68d84a7d4eb2cfc5b5b52dbab7f896877694538c8d301bca,37/2018/TT-BGTVT,"kiểm định xây dựng công trình đường bộ được thực hiện thông qua quan trắc, thí nghiệm kết hợp với việc tính toán, phân tích"
9e4dd5ed1c84d5db68d84a7d4eb2cfc5b5b52dbab7f896877694538c8d301bca,37/2018/TT-BGTVT,kiểm định chất lượng công trình phục vụ công tác bảo trì được thực hiện trong các trường hợp theo quy định
9e4dd5ed1c84d5db68d84a7d4eb2cfc5b5b52dbab7f896877694538c8d301bca,37/2018/TT-BGTVT,kiểm định chất lượng công trình phục vụ công tác bảo trì được thực hiện trong trường hợp kiểm định định kỳ
3747dfb7ebd92ab3558d89e957ad6c1c5adf154c15975b2c69528a7311b115fe,37/2018/TT-BGTVT,"kiểm định xây dựng công trình đường bộ là hoạt động kiểm tra, đánh giá chất lượng sản phẩm xây dựng, bộ phận công trình đường bộ hoặc công trình đường bộ"
3747dfb7ebd92ab3558d89e957ad6c1c5adf154c15975b2c69528a7311b115fe,37/2018/TT-BGTVT,"kiểm định xây dựng công trình đường bộ còn bao gồm đánh giá giá trị sản phẩm xây dựng, bộ phận công trình đường bộ hoặc công trình đường bộ"
3747dfb7ebd92ab3558d89e957ad6c1c5adf154c15975b2c69528a7311b115fe,37/2018/TT-BGTVT,"kiểm định xây dựng công trình đường bộ còn kiểm tra các thông số kỹ thuật khác của sản phẩm xây dựng, bộ phận công trình đường bộ hoặc công trình đường bộ"
3747dfb7ebd92ab3558d89e957ad6c1c5adf154c15975b2c69528a7311b115fe,37/2018/TT-BGTVT,kiểm định chất lượng công trình phục vụ công tác bảo trì được thực hiện khi phát hiện thấy chất lượng công trình có những hư hỏng của một số bộ phận công trình
3747dfb7ebd92ab3558d89e957ad6c1c5adf154c15975b2c69528a7311b115fe,37/2018/TT-BGTVT,kiểm định chất lượng công trình phục vụ công tác bảo trì được thực hiện khi công trình có dấu hiệu nguy hiểm
3747dfb7ebd92ab3558d89e957ad6c1c5adf154c15975b2c69528a7311b115fe,37/2018/TT-BGTVT,"kiểm định chất lượng công trình phục vụ công tác bảo trì được thực hiện khi công trình không đảm bảo an toàn cho việc khai thác, sử dụng theo quy định tại điểm b khoản 5 điều 40 nghị định số 46/2015/nđ-cp"
3747dfb7ebd92ab3558d89e957ad6c1c5adf154c15975b2c69528a7311b115fe,37/2018/TT-BGTVT,kiểm định chất lượng công trình phục vụ công tác bảo trì được thực hiện khi có dấu hiệu bất thường khác cần đánh giá về an toàn chịu lực công trình đường bộ
3747dfb7ebd92ab3558d89e957ad6c1c5adf154c15975b2c69528a7311b115fe,37/2018/TT-BGTVT,kiểm định chất lượng công trình phục vụ công tác bảo trì được thực hiện khi có dấu hiệu bất thường khác cần đánh giá an toàn vận hành khai thác công trình đường bộ
a6fa422cfee543ddea9c7c67cf0d75928bbb40b6393cb0d6c1d761bf8a6856ab,37/2018/TT-BGTVT,"kiểm định xây dựng công trình đường bộ là hoạt động kiểm tra, đánh giá chất lượng hoặc nguyên nhân hư hỏng của sản phẩm xây dựng, bộ phận công trình đường bộ hoặc công trình đường bộ"
a6fa422cfee543ddea9c7c67cf0d75928bbb40b6393cb0d6c1d761bf8a6856ab,37/2018/TT-BGTVT,kiểm định chất lượng công trình phục vụ công tác bảo trì được thực hiện trong các trường hợp có yêu cầu đánh giá chất lượng hiện trạng của công trình phục vụ cho việc lập quy trình bảo trì
30cb6e7b56eff04497a54e8e6557023e2a65825c3b661c202abc2989e5390ea4,37/2018/TT-BGTVT,kiểm định chất lượng công trình phục vụ công tác bảo trì được thực hiện trong các trường hợp sau
2eacac0aa65cc2857b10cc8532f4ae8b8d6e11ffef99bd8c1be9aa410da4dc4f,37/2018/TT-BGTVT,"kiểm định xây dựng công trình đường bộ là hoạt động kiểm tra, đánh giá chất lượng sản phẩm xây dựng, bộ phận công trình đường bộ hoặc công trình đường bộ"
2eacac0aa65cc2857b10cc8532f4ae8b8d6e11ffef99bd8c1be9aa410da4dc4f,37/2018/TT-BGTVT,"hoạt động kiểm định đánh giá nguyên nhân hư hỏng, giá trị, thời hạn sử dụng và các thông số kỹ thuật khác của sản phẩm xây dựng, bộ phận công trình đường bộ hoặc công trình đường bộ"
2eacac0aa65cc2857b10cc8532f4ae8b8d6e11ffef99bd8c1be9aa410da4dc4f,37/2018/TT-BGTVT,kiểm định chất lượng công trình phục vụ công tác bảo trì được thực hiện khi có yêu cầu của cơ quan quản lý nhà nước về xây dựng
2eacac0aa65cc2857b10cc8532f4ae8b8d6e11ffef99bd8c1be9aa410da4dc4f,37/2018/TT-BGTVT,việc yêu cầu này được thực hiện theo quy định tại điểm đ khoản 5 điều 40 nghị định số 46/2015/nđ-cp
e51a885cfbf47b57c3e8b99101a6031485a758489af63df476960c96174f536e,37/2018/TT-BGTVT,sửa chữa công trình đường bộ nhằm đảm bảo sự làm việc bình thường và an toàn của công trình đường bộ
e51a885cfbf47b57c3e8b99101a6031485a758489af63df476960c96174f536e,37/2018/TT-BGTVT,sửa chữa công trình đường bộ bao gồm sửa chữa định kỳ công trình đường bộ
e51a885cfbf47b57c3e8b99101a6031485a758489af63df476960c96174f536e,37/2018/TT-BGTVT,sửa chữa định kỳ công trình đường bộ bao gồm sửa chữa hư hỏng hoặc thay thế bộ phận công trình
e51a885cfbf47b57c3e8b99101a6031485a758489af63df476960c96174f536e,37/2018/TT-BGTVT,sửa chữa định kỳ công trình đường bộ bao gồm thay thế thiết bị lắp đặt vào công trình bị hư hỏng
e51a885cfbf47b57c3e8b99101a6031485a758489af63df476960c96174f536e,37/2018/TT-BGTVT,sửa chữa định kỳ công trình đường bộ được thực hiện định kỳ theo quy định của quy trình bảo trì
6cd2bc2d5ba2114869a1418170778432879dfa5c9f66f22f747555101b002631,37/2018/TT-BGTVT,"các hoạt động sửa chữa nhằm đảm bảo sự làm việc bình thường, an toàn của công trình đường bộ"
6cd2bc2d5ba2114869a1418170778432879dfa5c9f66f22f747555101b002631,37/2018/TT-BGTVT,sửa chữa công trình đường bộ bao gồm sửa chữa đột xuất công trình đường bộ
